"Type (Restaurant = 0, Hotel = 1, Activity = 2)",Name,About information,Average rating,Latitude,Longitude,Family Friendly (1/0),Cost (average),Operating hours: Opening time,Operating hours: Closing time,Customer reviews,Accessibility rating (1-5),Capacity
0,Salad King,"Thai eatery serving noodles, curries & salads, with communal tables & a choice of spice levels.",4.3,43.65846535,-79.38184198,1,15,12:00,20:30,"-We went to Salad King after many years and the food brought back so many memories. The food is amazing and we both got the Thai Islamic Noodles. Service is fast and very efficient, but we always feel rushed there. Their turnover of customers is always so quick. Mind you, it is a student spot so this makes sense. Regardless, this restaurant has the best Thai food and it is well worth it!
-Salad king is my favourite Thai place in Toronto! It is affordable (an effort they do to make the students from TMU be able to buy food from here),incredibly delicious and very well-portioned. The trifecta of food when eating out.I went out with by boyfriend and our mothers. They both got the battered shrimp fried rice with sweet chili oil, my bf got the panang curry and I get my signature: chicken Siam noodles. We all had to take our food home because of the amount of food that we got. For the 20$ you will pay,it is worth it. Please visit this place it is a downtown staple!",2,50
0,Jack's Dundas Square,"Hey - we're Jack Astor's. Our mission? Great people helping other great people totally have a blast while enjoying amazing food. We specialize in delicious food and drink and are a lot like a reverse mullet- we're a party in the front and all business in the back. In all seriousness though, we take real pride in our food and make over 200 recipes in house - Every. Single. Day. Mic drop. Try our fresh guacamole, centre cut aged Canadian AAA striploins or our famous Jack's Chicken Fingers, made with fresh never frozen seasoned chicken tenders, hand breaded to order. We also sling an impressive selection of craft brews and cocktails. So let your hair down, loosen your belt and come hangout!",4,43.65747181,-79.38042577,1,30,11:45,1:00,"-Jack Astor's provided an okay dining experience, with the food meeting expectations. The environment was pleasant, contributing to an overall enjoyable visit. While the food didn't stand out, the agreeable atmosphere added to the positive aspects of the dining experience.
-Loved their mexican chicken bowl it was so flavourful and yummy. A 10/10 recommendation. Street style chicken tacos were also very tasty. Just one thing please make sure you check on your customers as we had to call her everytime we need something she would’ve just checked on herself.",2,50
0,Fran's Restaurant,"Part of a local chain, this venerable spot serves sandwiches, steaks & burgers at all hours.
",4.2,43.65495684,-79.37879499,1,15,0:00,0:00:00,"-Stopped in for lunch. Never been to this location but if was anything like the other then it should be good! Wait staff attentive and friendly. Many of the customers the staff knew by name l. I ordered a strawberry shake to start. It arrived in the stainless cup, but was not full, I would have expected there to be more but after trying it, the taste made me focus less on the quantity and more so on the deliciousness! I ordered fish & chips and my lunch arrived very quickly. Two sizeable pieces of haddock which I was impressed with. Very good batter, crispy like how I like it. Thick as well. Fries were good with some malt vinegar and the coleslaw was perfect, creamy and as if they just shredded it. A very good experience and the staff were excellent, dropping by my table to ensure if everything was  to my liking. I’ll definitely be back.
-met a friend for lunch here today and the restaurant was lively. even with most of the tables filled up and staff moving around constantly, a server kindly greeted and welcomed me. noticed that the service was generally pretty quick, which was great since we were on a bit of a time crunch. i ordered fran’s energy breakfast and my friend got the nachos please (added homemade chili). i didn’t get to try my friend’s order (again, we were in a rush), but my meal was alright. the egg was big, but the slice of ham was very thin (could barely taste it) and the homemade fries were mid (not the best i’ve ever had). overall, the service was great (attentive and energetic, despite how busy and chaotic it was), but i probably won’t order the same meal again (for that price at least).",3,25
0,Paramount Middle Eastern Kitchen,"Lively Middle Eastern place serving barbecued halal meats, house-baked pitas & baklava made on-site.

",4.1,43.65563993,-79.38038286,1,25,11:00,22:00,"-Very nice place to eat, if you are in downtown and looking for a different taste. The food was delicious we tried the chicken shawarma and the garlic bread was so good. This is the place if you want to try some middle eastern food in Toronto downtown. The service was nice and quick we didn't wait too long for our orders and the waitress was very friendly. The atmosphere was good with middle eastern music which we loved. Highly recommended for food lovers who enjoy experiencing new flavors
-Delicious food at a very reasonable cost for the area! If you’re looking for authentic Middle Eastern, this is definitely worth a try. The falafel is perfectly crispy on the outside and perfectly smooth on the inside. The hummus is velvety smooth and the pita is hot and fluffy when it arrives. The servers were prompt and friendly and the atmosphere is casual but classy. Plus lots of vegetarian options to choose without sacrificing flavour!",3,60
0,Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.",4.3,43.6577823,-79.38072618,1,15,11:00,22:00,"-Always a treat. Service is friendly and quick.  Great burger joint.
This time around I had the bacon cheese burger (2 beef patties) (everything on it) with fries & gravy.  I was offered a drink but passed.  Had a craving for milk but sadly it's not available.  They do have shakes though. The gravy is on point.  Sticks to your fries and has a good flavour.
-When the urge for a burger strikes, Five Guys is the go-to spot. While you wait, enjoy complimentary peanuts, and discover the daily source of their fresh potato produce",1,30
1,"Chelsea Hotel, Toronto","This relaxed hotel in a high-rise building is a 4-minute walk from Ryerson University, 2 km from the Royal Ontario Museum and 3 km from the CN Tower.
Casual rooms offer flat-screen TVs and free Wi-Fi; some include balconies and/or views of the CN Tower. Studios have kitchenettes; suites add separate living areas. Club level rooms have access to a lounge serving free continental breakfast and snacks.
Amenities include an informal restaurant, a coffee shop and a cozy bar. There's also a 27th-floor indoor pool with an outdoor sundeck featuring city views, plus a waterslide, a fitness centre and saunas.",3.8,43.65865499,-79.38307847,1,172,15:00,11:00,"-Rooms are clean, but dated.  Bed was very cozy and comfy. Pillows are the best! Lovely shower with great water pressure.  Having a balcony was a treat, and I really enjoyed the views of the city during the day and especially the lights at night. Great downtown location.  Thanks for offering a discount for hospital stays and for extending it to include inside parking as well.
-The staff at the Chelsea Hotel were excellent,  from booking, until check-out.  We required some special help which was offered without reservation.   Staff went out of their way to ensure our comfort and contentment.   Second visit was equally good.   We had left something behind on our first visit which they quickly located and delivered to our room.  The Health club was in excellent condition as well.   Most of all it was the outgoing staff who made these visits memorable. Cheers to you all!",5,4000
1,Filmores Hotel,"Adjacent to the light rail tracks, this straightforward hotel is a mile from the Art Gallery of Ontario and 1.9 miles from the Ripley's Aquarium of Canada.
The down-to-earth rooms have traditional furnishings and come with cable TV and separate sitting areas. Room service is also available.
Amenities include a coin-operated laundry and a tanning salon.",3.5,43.65791155,-79.37319306,1,141,14:00,11:00,"-Extremely basic, which was reflected in price. However, my room had an ensuite, queen bed, and was very spacious.
Despite having a dated decor, the staff still done an excellent job of cleaning. My room was spotless on arrival. Good job team.
Finally, Jessica and Jelissa were always smiling and happy to help with anything I needed during my stay.
All in, reasonably priced for its location.
-The staff here are great, you need to know under the hotel there is a strip club. The dancers do pass through the hotel so be respectful. The music from the club does go into the rooms though it's silent after 2 AM, I would stay here again.",5,3000
1,Pantages Hotel Downtown Toronto,"A 2-minute walk from shopping at Toronto Eaton Centre, this all-suite hotel in a high-rise is a 7-minute drive from the CN tower's revolving eatery.
Luxe suites featuring contemporary decor and furnishings include floor-to-ceiling windows, rainfall showerheads, flat-screen TVs and WiFi, as well as kitchenettes. Upgraded suites have separate living rooms and washer/dryers.
A chic martini bar off the lobby has a menu of upscale bar food and live music on the weekends. Freebies include a fitness centre, a relaxation room with sauna, whirlpool and steam room, plus a business centre. A Japanese spa offers treatments for a fee.",3.8,43.65489868,-79.37936244,1,131,15:00,11:00,"-This hotel is a little dated, but you cannot beat its location.  We had the studio suite on the top floor, and the view was wonderful, especially on a clear, sunny, blue winter day.  It was the perfect for a night around town and it was great to return to the room after a late performance at a theatre nearby.
-Had a great stay here. Spacious and clean room, tastefully decorated. Off of the main street so it was quiet. Only complaint was the TV; can’t use any streaming services, only cable and movies to order.",4,1000
1,"Holiday Inn Toronto Downtown Centre, an IHG Hotel","Less than a block from College subway station, this high-rise hotel is also a 9-minute walk from shopping at the Eaton Centre.
Modern rooms come with flat-screen TVs and desks, plus minifridges and coffeemakers. Kids 19 and under stay free with an adult and there's free WiFi in every room, as well as a choice of hard and soft pillows. Suites add separate living spaces and kitchenettes.
The facility also offers a restaurant (where kids 12 and under eat free), an indoor pool and an exercise room, plus a rooftop patio and paid parking.",3.9,43.66197031,-79.38121326,1,134,16:00,11:00,"-I was on the 12th floor and they upgraded me to a junior suite. It was nice and well appointed. Reasonable size. I had the buffet breakfast included in the room cost. It was a typical breakfast buffet with lots of selection. Parking on site but if you have a large truck you may not fit. The area is a concrete jungle but that isn't bad if you have business in the area or are going to one of the hospitals or U of T.
-Parking and check in were great, staff were pleasant, helpful and friendly. We had a room with 2 double beds it was kind of small for 4 guests and the pool was cool not that warm.  Buffet was amazing and it is so close to everything.  We walked to all our attractions and then 12 dollar left ride back to the hotel.  Enjoyed it all",4,2500
1,Holiday Inn Express Toronto Downtown,"A 9-minute walk from King subway station, this laid-back lodging is also 2.1 km from the landmark CN Tower and Ripley's Aquarium of Canada.
Straightforward rooms come with flat-screen TVs, desks and coffeemakers, plus free WI-Fi. Kids 19 and under stay free with an adult.
A free breakfast buffet is offered. There's a gym and a business centre. Parking is available for a fee.",4.1,43.65232738,-79.37271037,1,131,15:00,11:00,"-We requested an early check-in, but they couldn't guarantee anything until we arrived. When arriving, they mentioned our original room wasn't ready, but they quickly found us another room that was available.

We stayed on the 12th floor. The room was nice and clean. The mini fridge wasn't working, but the room had a nice view of downtown.

The breakfast was decent. They offered the usual: scrambled eggs, pork sausage, turkey sausage, yogurt, cereal, etc.

Overall, it's a good place for a quick few nights.
-Comfortable beds and bedding, loved different pillow options. Easy to use temperature gage. Also, great sound proofing, I did not hear other guests during my stay. I was able to rest but also explore the city, the hotel is in a great location.",5,3000
2,Adventure City Games Toronto - Old Toronto,Escape room center,3.5,43.6458363,-79.38043066,1,18,0:00,0:00:00,"-Fun way to see the city. The puzzles aren’t very challenging so no problem completing. Very easy to share clues among the group. We had two phones for 4 people.
-We had so much fun adventuring through Toronto! Such a great way to see the city and the puzzles were so fun and exciting. I’d highly recommend this to anyone looking to get outside and explore their city. We found so many places we never would’ve even known existed! 10/10 would highly recommend!",1,7
2,Museum of Illusions Toronto,"Small museum with optical illusions & holograms for selfies, plus logic games & a vortex tunnel.",3.9,43.65045824,-79.36951299,1,20,10:00,19:00,"-Contrary to a traditional walk-through museum, this venue consisted of a medium-sized room with interconnected smaller rooms. Despite its compact layout, it still offered engaging interactive experiences and photo opportunities, albeit geared more towards children. Our visit, including exploring these spaces and capturing photos, lasted about 20 minutes.
-We booked this on their website for a Christmas Day at 10:00am. I was surprised that they were opened. When we went in there was 10 of us. We went from room to room taking pictures. The staff were as very friendly. They explained some of the illusions and took our picture. It took 45 minutes to get through. There was an area to do some puzzles. We ended up buying a few in the gift shop at the front of the store $16 each. There is a room where you can hang up your coat and leave your belongs but it's not their responsibility if something gets taken.
This was a great experience and I only wished it were bigger. But being that it's downtown I can understand their issue with the space.",3,150
2,Toronto Music Garden,Yo Yo Ma contributed to the design of this scenic garden with summer concerts & seasonal tours.,4.7,43.63741098,-79.39431786,1,0,0:00,0:00:00,"-The Toronto Music Garden is a hidden gem and a tranquil oasis in the heart of the city. This beautifully landscaped garden, inspired by Bach's music, is a harmonious blend of nature and art. Visitors can stroll along the winding paths, admiring the carefully designed plantings and sculptures that reflect musical compositions. It's a serene place to escape the urban hustle and bustle. The garden often hosts free music events during the summer, adding a delightful auditory dimension to the experience. Whether you're a music lover or just seeking a peaceful escape, the Toronto Music Garden is a lovely and unique destination that offers a respite for the soul.
-A must visit place all through summer, have lots of fun and enjoy good music from amateur artists, those in downtown on a short trip or live in the neighbourhood take out time to spend some quality time with friends and family. Encourage the young artists",1,500
2,Little Canada,Exhibit,4.9,43.65704672,-79.38095002,1,40,10:00,18:00,"-Very cool! I went with my almost 5-year old and we had a great time. I loved the amount of detail in the displays. My kid loved the moving parts, especially the trains and cars. The staff was very friendly and really excited to show us some of the Easter eggs in each of the exhibits. You can tell they enjoyed working there and liked talking to kids, which made our experience that much better. We'll definitely come back!
-I recently visited ""Little Canada"" and was absolutely mesmerized by this incredible attraction. The attention to detail and craftsmanship in every miniature scene is astounding. From the bustling streets of Toronto to the scenic vistas of Niagara, every aspect is crafted with remarkable precision and a love for detail.

This place is perfect for a family outing or for anyone looking to escape into a different world for a moment and experience all of Canada in one spot. ""Little Canada"" offers a unique experience that will leave a lasting impression. Highly recommended for anyone visiting Toronto.",2,400
2,Art Gallery of Ontario,"Large gallery with huge Canadian collection, European masterworks & a major Frank Gehry renovation.",4.7,43.6539171,-79.39259813,1,30,10:30,17:30,"-Amazing museum. It was one of the best accessibility places I have visited. Never once did my wife's wheelchair have an issue once in the museum. Parking was bad. Would recommend not using the parking garage across the road from it if you need a wheelchair.

The art collection was beautiful. A lot of Canadian collections, great impressionist works, great female artist pieces, the special exhibits were amazing. I was just overwhelmed by the experience.
-Very large museum, but manageable in a few hours. It had a good variety of exhibits and artworks, from a range of cultures and styles. It is big enough to handle a large amount of people at any one time so you don’t feel crowded when inside. Additionally, under 25s go free which is wonderful for any younger people who wish to visit- no worries about cost! Also, the restaurant is good :)",5,600
0,Blaze Pizza,"Hip counter-serve pizzeria dishing up crispy, thin-crust pies made with creative toppings & sauces.",4.5,43.65687906,-79.38039303,1,15,11:00,22:00,"-Took my long term partner here as we were getting a bit hungry on a chilly Toronto walk. The employee taking our order had a most welcome and almost encouraging attitude which allowed us to savor our food even more. The build your own pizza is a treat.
-Heard a lot about this place and when I went, I enjoyed the pizza. It was delicious and fresh. Try the garlic breads too when you are here.",2,50
0,Ram in the Rye,Casual sports bar in the the Ryerson Student Centre offering sports on the big screen & events.,4.2,43.65838188,-79.37809899,0,15,17:00,2:00,"-Amazing affordable food, tastes great and most importantly it's cheaper compared to everywhere else downtown. The servers here are also really nice :) love it. There are also many halal options!
-Great place for good food at a reasonable price and drinks to complement.",3,75
